000033.SZ,2014,5
000037.SZ,2016,4
000056.SZ,2012,4
000059.SZ,2015,4
000068.SZ,2010,4
000068.SZ,2015,3
000155.SZ,2012,4
000155.SZ,2015,4
000408.SZ,2016,4
000410.SZ,2017,5
000415.SZ,2010,3
000420.SZ,2012,2
000422.SZ,2018,4
000504.SZ,2010,4
000504.SZ,2016,4
000505.SZ,2016,4
000510.SZ,2015,4
000511.SZ,2016,5
000520.SZ,2013,4
000526.SZ,2017,4
000545.SZ,2011,4
000585.SZ,2012,4
000585.SZ,2018,4
000590.SZ,2015,5
000594.SZ,2013,5
000595.SZ,2011,4
000595.SZ,2017,3
000598.SZ,2010,3
000602.SZ,2011,2
000606.SZ,2016,4
000607.SZ,2011,4
000611.SZ,2015,4
000613.SZ,2017,4
000617.SZ,2013,4
000617.SZ,2016,4
000622.SZ,2016,4
000629.SZ,2010,4
000629.SZ,2016,5
000633.SZ,2016,4
000655.SZ,2018,4
000659.SZ,2014,5
000659.SZ,2017,5
000662.SZ,2012,4
000669.SZ,2012,3
000670.SZ,2016,5
000676.SZ,2010,4
000677.SZ,2015,3
000691.SZ,2016,5
000693.SZ,2016,5
000703.SZ,2010,3
000707.SZ,2018,5
000710.SZ,2017,3
000711.SZ,2015,3
000717.SZ,2013,2
000717.SZ,2016,4
000720.SZ,2018,4
000737.SZ,2011,4
000737.SZ,2018,2
000751.SZ,2012,4
000755.SZ,2014,3
000755.SZ,2017,3
000760.SZ,2010,4
000767.SZ,2012,4
000779.SZ,2014,4
000780.SZ,2017,4
000799.SZ,2015,4
000803.SZ,2017,3
000806.SZ,2012,4
000809.SZ,2017,4
000815.SZ,2012,4
000815.SZ,2015,4
000816.SZ,2018,4
000820.SZ,2010,4
000822.SZ,2014,2
000831.SZ,2010,4
000831.SZ,2016,4
000838.SZ,2012,4
000856.SZ,2016,4
000892.SZ,2015,4
000893.SZ,2018,5
000898.SZ,2013,3
000899.SZ,2012,4
000902.SZ,2010,3
000902.SZ,2014,3
000908.SZ,2010,2
000912.SZ,2015,4
000913.SZ,2016,4
000922.SZ,2017,3
000927.SZ,2015,4
000928.SZ,2014,3
000932.SZ,2017,5
000933.SZ,2016,4
000950.SZ,2016,4
000953.SZ,2010,4
000953.SZ,2017,3
000958.SZ,2010,4
000962.SZ,2016,4
000968.SZ,2016,3
000972.SZ,2012,5
000972.SZ,2017,4
000976.SZ,2010,4
000976.SZ,2015,3
000982.SZ,2017,5
000995.SZ,2015,4
000995.SZ,2018,5
001896.SZ,2010,4
002006.SZ,2014,4
002015.SZ,2014,3
002018.SZ,2018,5
002019.SZ,2012,4
002047.SZ,2013,4
002061.SZ,2016,3
002069.SZ,2016,5
002070.SZ,2017,5
002072.SZ,2010,4
002102.SZ,2012,4
002109.SZ,2016,3
002114.SZ,2012,3
002122.SZ,2018,5
002127.SZ,2014,3
002134.SZ,2014,4
002134.SZ,2017,5
002160.SZ,2014,3
002162.SZ,2013,2
002163.SZ,2014,4
002164.SZ,2014,4
002173.SZ,2016,4
002188.SZ,2018,2
002192.SZ,2015,3
002194.SZ,2018,4
002199.SZ,2016,4
002200.SZ,2011,5
002207.SZ,2017,4
002217.SZ,2014,4
002234.SZ,2014,4
002248.SZ,2014,4
002248.SZ,2017,4
002260.SZ,2018,5
002263.SZ,2018,5
002265.SZ,2013,3
002289.SZ,2016,5
002306.SZ,2015,4
002306.SZ,2017,4
002312.SZ,2017,4
002336.SZ,2016,4
002373.SZ,2014,4
002379.SZ,2016,4
002417.SZ,2015,4
002423.SZ,2016,5
002427.SZ,2018,2
002459.SZ,2014,3
002473.SZ,2017,5
002490.SZ,2017,4
002504.SZ,2017,5
002506.SZ,2013,2
002513.SZ,2016,4
002552.SZ,2018,5
002570.SZ,2018,4
002571.SZ,2017,4
002604.SZ,2018,1
002608.SZ,2015,4
002633.SZ,2015,1
600069.SH,2015,3
600071.SH,2015,5
600072.SH,2014,4
600074.SH,2011,4
600074.SH,2013,4
600075.SH,2014,3
600077.SH,2010,3
600087.SH,2012,4
600091.SH,2010,5
600112.SH,2017,4
600121.SH,2017,4
600131.SH,2010,4
600145.SH,2010,5
600145.SH,2014,5
600149.SH,2017,4
600150.SH,2018,4
600163.SH,2015,2
600178.SH,2014,4
600179.SH,2010,4
600179.SH,2016,3
600193.SH,2018,5
600198.SH,2018,4
600202.SH,2018,4
600203.SH,2011,1
600209.SH,2010,4
600209.SH,2018,4
600212.SH,2016,4
600217.SH,2015,3
600225.SH,2017,3
600228.SH,2011,4
600228.SH,2014,5
600228.SH,2017,3
600230.SH,2016,3
600234.SH,2016,5
600238.SH,2018,4
600242.SH,2015,5
600247.SH,2014,4
600250.SH,2012,5
600275.SH,2017,5
600281.SH,2011,4
600282.SH,2014,4
600299.SH,2010,4
600299.SH,2014,4
600301.SH,2010,4
600301.SH,2013,5
600306.SH,2014,4
600306.SH,2016,4
600319.SH,2013,5
600319.SH,2016,3
600321.SH,2018,4
600335.SH,2011,2
600339.SH,2016,4
600346.SH,2016,4
600355.SH,2010,4
600358.SH,2013,5
600359.SH,2012,5
600365.SH,2011,2
600373.SH,2010,4
600375.SH,2016,4
600381.SH,2013,3
600390.SH,2016,4
600392.SH,2012,5
600397.SH,2018,4
600401.SH,2015,4
600401.SH,2017,5
600403.SH,2017,3
600408.SH,2015,5
600408.SH,2018,4
600421.SH,2018,1
600423.SH,2017,5
600425.SH,2017,4
600432.SH,2016,5
600444.SH,2010,4
600444.SH,2013,5
600444.SH,2015,4
600455.SH,2010,4
600490.SH,2010,4
600520.SH,2016,4
600532.SH,2012,3
600538.SH,2010,4
600538.SH,2013,4
600539.SH,2015,4
600539.SH,2018,4
600540.SH,2017,5
600546.SH,2016,5
600550.SH,2014,3
600555.SH,2013,5
600562.SH,2010,2
600581.SH,2016,3
600598.SH,2014,3
600603.SH,2016,2
600608.SH,2015,4
600608.SH,2017,3
600609.SH,2010,5
600610.SH,2014,3
600634.SH,2010,4
600634.SH,2018,5
600636.SH,2017,3
600644.SH,2015,3
600654.SH,2017,5
600656.SH,2015,3
600671.SH,2011,5
600675.SH,2016,3
600680.SH,2017,3
600689.SH,2014,4
600691.SH,2015,4
600696.SH,2017,3
600701.SH,2016,4
600701.SH,2018,5
600707.SH,2013,4
600710.SH,2015,4
600715.SH,2015,1
600721.SH,2016,3
600722.SH,2015,4
600725.SH,2016,5
600732.SH,2015,4
600733.SH,2012,3
600733.SH,2017,3
600740.SH,2010,3
600747.SH,2017,5
600749.SH,2018,5
600760.SH,2013,4
600760.SH,2016,4
600766.SH,2011,5
600767.SH,2017,4
600769.SH,2010,4
600778.SH,2018,4
600779.SH,2015,5
600806.SH,2016,4
600807.SH,2018,5
600815.SH,2017,5
600844.SH,2017,5
600847.SH,2017,5
600860.SH,2010,3
600860.SH,2014,3
600860.SH,2017,3
600866.SH,2016,4
600870.SH,2015,5
600870.SH,2018,4
600871.SH,2014,3
600871.SH,2018,3
600877.SH,2012,5
600877.SH,2017,5
600882.SH,2012,3
600885.SH,2010,4
600894.SH,2012,2
600896.SH,2018,5
600961.SH,2013,3
600962.SH,2015,4
600980.SH,2013,4
600984.SH,2015,2
601005.SH,2017,4
601106.SH,2017,4
601268.SH,2013,4
601519.SH,2017,5
601558.SH,2014,5
601558.SH,2017,4
601798.SH,2018,4
601918.SH,2016,5
601919.SH,2013,3
